اباي	a b a i
باتىستىقتار	b a t e s t e q t a r
باتىسى	b a t e s e
ٴباتسانالىيا	b a t s a n a l xe i a
باتسانال	b a t s a n a l
بايالدى	b a i a l d e
ٴباتسىللالار	b a t s xe l l a l a r
باياندايدى	b a i a n d a i d e
باۋىرمالدىق	b a w e r m a l d e q
باۋىرىمەن جورعالاۋشى	b a w e r e m ye n   j o r gh a l a w sh e
باۋىرىمەن جورعالاۋشىلار	b a w e r e m ye n   j o r gh a l a w sh e l a r
باح	b a h
بايانداۋىشتار	b a i a n d a w e sh t a r
بايانداۋىش	b a i a n d a w e sh
بايانداۋشىلار	b a i a n d a w sh e l a r
باياۋ	b a i a w
باياۋلايدى	b a i a w l a i d e
باياندالادى	b a i a n d a l a d e
باياندالعان	b a i a n d a l gh a n
بايانداماشى	b a i a n d a m a sh e
بايانداۋ	b a i a n d a w
بايانداۋشى	b a i a n d a w sh e
باعالادى	b a gh a l a d e
باعالانبايدى	b a gh a l a n b a i d e
باعالارى	b a gh a l a r e
باياۋلاۋ	b a i a w l a w
باعا	b a gh a
باعا بەلگىلەۋ	b a gh a   b ye l g xe l ye w
باعا بەرۋ	b a gh a   b ye r w
باعا جەتپەس	b a gh a   j ye t p ye s
باعانالى	b a gh a n a l e
باعانالار	b a gh a n a l a r
باعانا	b a gh a n a
باعان	b a gh a n
باعاناعا ىلىڭەن	b a gh a n a gh a   xe l xe n g ye n
باعاسى	b a gh a s e
باعالاۋ	b a gh a l a w
باعالاۋشى	b a gh a l a w sh e
باعالاۋشىلار	b a gh a l a w sh e l a r
باعدارلامالاۋ	b a gh d a r l a m a l a w
باعدارلامالار	b a gh d a r l a m a l a r
باعدارلامالاڭحان	b a gh d a r l a m a l a n gh a n
باعدارلاماشى	b a gh d a r l a m a sh e
باعدارلامالىق	b a gh d a r l a m a l e q
باعدارلامالىق قامتاماسىز ەتۋ	b a gh d a r l a m a l e q   q a m t a m a s e z   ye t w
باعاتەللالار	b a gh a t ye l l a l a r
باعاتەللە	b a gh a t ye l l ye
باعبان	b a gh b a n
باعباندار	b a gh b a n d a r
باعدار	b a gh d a r
باعىنبادى	b a gh e n b a d e
باعىنادى	b a gh e n a d e
باعۋ	b a gh w
باعىنبايدى	b a gh e n b a i d e
باعىنباۋ	b a gh e n b a w
باعدارلاماشىلار	b a gh d a r l a m a sh e l a r
باعدارلاڭحان	b a gh d a r l a n gh a n
باعدارلار	b a gh d a r l a r
باعدارلاۋ	b a gh d a r l a w
باعىتتالعان	b a gh e t t a l gh a n
باعىتتايدى	b a gh e t t a i d e
باعىت	b a gh e t
باعىتتار	b a gh e t t a r
باعىتتاۋشى	b a gh e t t a w sh e
باعىندىرادى	b a gh e n d e r a d e
باعىندىردى	b a gh e n d e r d e
باعىندىرۋ	b a gh e n d e r w
باعىنىشتى	b a gh e n e sh t e
باعىنىشتىلار	b a gh e n e sh t e l a r
باقسى	b a q s e
باقالار	b a q a l a r
باقا	b a q a
باقتار	b a q t a r
باقسىلار	b a q s e l a r
باقتاشى	b a q t a sh e
باعىتتاۋشىلىق	b a gh e t t a w sh e l e q
باعىتى	b a gh e t e
باعىتىن وزگەرتۋ	b a gh e t e n   xo z g ye r t w
باعىشتايدى	b a gh e sh t a i d e
باقىلاۋ سوزدەرى	b a q e l a w   s xo z d ye r xe
باقىلاۋ پاراعى	b a q e l a w   p a r a gh e
باقىلاۋ بولمەسى	b a q e l a w   b xo l m ye s xe
ٴباقىلاۋ سوزى	b a q e l a w   s xo z xe
باقىلاۋ تاقتالارى	b a q e l a w   t a q t a l a r e
باقىلاۋ تاقتاسى	b a q e l a w   t a q t a s e
باقتاشىلار	b a q t a sh e l a r
باقىلانادى	b a q e l a n a d e
باقىلانباعان	b a q e l a n b a gh a n
باقىلاڭحان	b a q e l a n gh a n
باقىلاۋ	b a q e l a w
باقىتسىز	b a q e t s e z
باقىت	b a q e t
باقىتسىزدىقپەن	b a q e t s e z d e q p ye n
باقىتتى	b a q e t t e
باقىلاۋلار	b a q e l a w l a r
باقىلاۋسىز	b a q e l a w s e z
باقىلاۋشىلار	b a q e l a w sh e l a r
باقىلاۋعا الۋ	b a q e l a w gh a   a l w
بەگون	b ye g o n
بەگەموتتار	b ye g ye m o t t a r
بەگۋم	b ye g w m
بەگۋىلەر	b ye g w xe l ye r
باقىتىمىزعا وراي	b a q e t e m e z gh a   o r a i
بۆانا	b v a n a
بەبوپ	b ye b o p
بەگەموت	b ye g ye m o t
بەدەلى	b ye d ye l xe
بەدەلسىز	b ye d ye l s xe z
بەدەلدىلىك	b ye d ye l d xe l xe k
بەدەلىن تۇسىرەتىن	b ye d ye l xe n   t xu s xe r ye t xe n
بەدەلىن تۇسىرەدى	b ye d ye l xe n   t xu s xe r ye d xe
بەدەلىن تۇسىرۋ	b ye d ye l xe n   t xu s xe r w
بەدەۆىل	b ye d ye v xe l
بەدەل	b ye d ye l
بەدەلدى	b ye d ye l d xe
بەدەلدى ادام	b ye d ye l d xe   a d a m
بەدەلدىلەر	b ye d ye l d xe l ye r
بەزگەك	b ye z g ye k
بەزگەگى	b ye z g ye g xe
بەجەۆىي	b ye j ye v e i
بەزدى	b ye z d xe
بەزدەرى	b ye z d ye r xe
بەزەندىرەدى	b ye z ye n d xe r ye d xe
بەدەرلەۋ	b ye d ye r l ye w
بەدەۋ	b ye d ye w
بەدەۋلىك	b ye d ye w l xe k
بەدۋىن	b ye d w xe n
بەي	b ye i
بەزى	b ye z xe
بەزەۋلەر	b ye z ye w l ye r
بەيباق	b ye i b a q
بەيبىت	b ye i b xe t
بەزەندىرۋ	b ye z ye n d xe r w
بەزەندىرىلگەن	b ye z ye n d xe r xe l g ye n
بەزەندىرىلمەگەن	b ye z ye n d xe r xe l m ye g ye n
بەزەندىرىڭىز	b ye z ye n d xe r xe n g xe z
بەزەۋ	b ye z ye w
بەينەجازبا	b ye i n ye j a z b a
بەينە	b ye i n ye
بەيمالىم	b ye i m xa l xe m
بەينەكامەرا	b ye i n ye k a m ye r a
بەينەلەر	b ye i n ye l ye r
بەيبىت كۇن	b ye i b xe t   k xu n
بەيبىت تۇردە	b ye i b xe t   t xu r d ye
بەيبىت تۇرعىندار	b ye i b xe t   t u r gh e n d a r
بەيبىتشىلىك كەزەڭدەرى	b ye i b xe t sh xe l xe k   k ye z ye n g d ye r xe
بەيمازا	b ye i m a z a
بەيورگانىكالىق	b ye i o r g a n xe k a l e q
بەينەقوسىلعىلار	b ye i n ye q o s e l gh e l a r
بەيتاراپ	b ye i t a r a p
بەيتانىس ادامدار	b ye i t a n e s   a d a m d a r
بەيتاراپتاندىرادى	b ye i t a r a p t a n d e r a d e
بەينەلەۋ	b ye i n ye l ye w
بەينەلەۋ ونەرى	b ye i n ye l ye w   xo n ye r xe
بەينەلى	b ye i n ye l xe
بەينەسى	b ye i n ye s xe
بەيىم ەمەس	b ye i xe m   ye m ye s
بەيشارا	b ye i sh a r a
بەيحابار	b ye i h a b a r
بەيىمدەلگەن	b ye i xe m d ye l g ye n
بەيىمدەيدى	b ye i xe m d ye i d xe
بەيىمدەلەدى	b ye i xe m d ye l ye d xe
بەيتاراپتاندىرۋ	b ye i t a r a p t a n d e r w
بەيتاراپتىق	b ye i t a r a p t e q
بەيتاراپشىلار	b ye i t a r a p sh e l a r
بەيعام	b ye i gh a m
بەيىمسىزدىك	b ye i xe m s xe z d xe k
بەيىمدىلىك	b ye i xe m d xe l xe k
بەيقامدىق	b ye i q a m d e q
بەكەر	b ye k ye r
بەكەرشىلىك	b ye k ye r sh xe l xe k
بەيىمدەلەتىن	b ye i xe m d ye l ye t xe n
بەيىمدەلۋ	b ye i xe m d ye l w
بەيىمدەۋ	b ye i xe m d ye w
بەيىمدى	b ye i xe m d xe
بەكىرە	b ye k xe r ye
بەكىنىستەر	b ye k xe n xe s t ye r
بەكىتكىش	b ye k xe t k xe sh
بەكىتەتىن	b ye k xe t ye t xe n
بەكون	b ye k o n
بەكوندار	b ye k o n d a r
بەكىندى	b ye k xe n d xe
بەكىنۋ	b ye k xe n w
بەكىنىس	b ye k xe n xe s
بەلاي	b ye l a i
بەل سىزىعى	b ye l   s e z e gh e
بەل اۋرۋى	b ye l   a w r w e
بەلابور	b ye l a b o r
بەلابۋر	b ye l a b w r
بەكىتۋ	b ye k xe t w
بەكىتۋلەر	b ye k xe t w l ye r
بەكىتۋشى	b ye k xe t w sh xe
بەكىتىلگەن	b ye k xe t xe l g ye n
بەكىتىلدى	b ye k xe t xe l d xe
بەكىتىڭىز	b ye k xe t xe n g xe z
بەلگى بەرۋ	b ye l g xe   b ye r w
بەلگى بەرەتىن	b ye l g xe   b ye r ye t xe n
بەلگى بەردى	b ye l g xe   b ye r d xe
بەلگىلەدى	b ye l g xe l ye d xe
بەلگىلەيدى	b ye l g xe l ye i d xe
بەلاي!	b ye l a i !
بەلبەۋ	b ye l b ye w
بەلبەۋلەر	b ye l b ye w l ye r
بەلگى	b ye l g xe
بەلگىلەۋ	b ye l g xe l ye w
بەلگىلەرى	b ye l g xe l ye r xe
بەلگىلى	b ye l g xe l xe
بەلگىلى تۇردە	b ye l g xe l xe   t xu r d ye
بەلگىلەنبەگەن	b ye l g xe l ye n b ye g ye n
بەلگىلەڭەن	b ye l g xe l ye n g ye n
بەلگىلەڭەن تۇردە	b ye l g xe l ye n g ye n   t xu r d ye
بەلگىلەنەدى	b ye l g xe l ye n ye d xe
بەلگىلەر	b ye l g xe l ye r
بەلدەۋ	b ye l d ye w
بەلدەمشەلەر	b ye l d ye m sh ye l ye r
بەلدام	b ye l d a m
بەلدەر	b ye l d ye r
بەلدەۋلەر	b ye l d ye w l ye r
بەلگىسى	b ye l g xe s xe
بەلگىسىز	b ye l g xe s xe z
بەلگىسىزدىك	b ye l g xe s xe z d xe k
بەلگىسىمەن	b ye l g xe s xe m ye n
بەلگىسىن بىلدىرەدى	b ye l g xe s xe n   b xe l d xe r ye d xe
بەلگىشەسىن باسىڭىز	b ye l g xe sh ye s xe n   b a s e n g e z
بەلسەندى ەمەس ەتۋ	b ye l s ye n d xe   ye m ye s   ye t w
بەلسەندى	b ye l s ye n d xe
بەللىكوزا	b ye l l xe k o z a
بەلسەندى ەمەس	b ye l s ye n d xe   ye m ye s
بەلسەندىلەرى	b ye l s ye n d xe l ye r xe
بەلدەۋشى	b ye l d ye w sh xe
بەلدى	b ye l d xe
بەلدىك	b ye l d xe k
بەلدىكتەر	b ye l d xe k t ye r
بەللادوننا	b ye l l a d o n n a
بەنەدىكتىن	b ye n ye d xe k t xe n
بەن	b ye n
بەلىك	b ye l xe k
بەنەليۋكس	b ye n ye l i w k s
بەلسەندىلىگى	b ye l s ye n d xe l xe g xe
بەلسەندىلىك	b ye l s ye n d xe l xe k
بەلسەندىرەدى	b ye l s ye n d xe r ye d xe
بەلسەندىرۋ	b ye l s ye n d xe r w
بەلفرى	b ye l f r xe
بەرگ	b ye r g
بەراتتار	b ye r a t t a r
بەرگىلەر	b ye r g xe l ye r
بەردى	b ye r d xe
بەنەفىتسىار	b ye n ye f xe t s xe a r
بەنەفىتسىارلار	b ye n ye f xe t s xe a r l a r
بەنزىل	b ye n z xe l
بەنزىن	b ye n z xe n
بەنزول	b ye n z o l
بەنىسون	b ye n xe s o n
بەرات	b ye r a t
بەرىلل	b ye r xe l l
بەرەشەك	b ye r ye sh ye k
بەرىللىي	b ye r xe l l xe i
بەرسەركەر	b ye r s ye r k ye r
بەرەدى	b ye r ye d xe
بەرەكە	b ye r ye k ye
بەرەكەلى	b ye r ye k ye l xe
بەرەكەت	b ye r ye k ye t
بەرەت	b ye r ye t
بەرەتتەر	b ye r ye t t ye r
بەرىكتىك	b ye r xe k t xe k
بەرىكتىگى	b ye r xe k t xe g xe
بەرىلگەن مۇددەلەر	b ye r xe l g ye n   m xu d d ye l ye r
بەرتەد	b ye r t ye d
بەرۋ	b ye r w
بەرۋشى	b ye r w sh xe
بەرۋشىلەر	b ye r w sh xe l ye r
بەرىك	b ye r xe k
بەسجىلدىق	b ye s j e l d e q
بەسبۇرىشتار	b ye s b u r e sh t a r
بەس ەسە	b ye s   ye s ye
بەسبۇرىشتى	b ye s b u r e sh t e
بەسەۋ	b ye s ye w
بەرىلگەندىك	b ye r xe l g ye n d xe k
بەرىلدى	b ye r xe l d xe
بەرىلەتىن	b ye r xe l ye t xe n
بەرىلۋ	b ye r xe l w
بەرىلىستەر	b ye r xe l xe s t ye r
بەرىلىسى	b ye r xe l xe s xe
بەس	b ye s
بەسپلاتنو	b ye s p l a t n o
بەسپەك	b ye s p ye k
بەسپوكەن	b ye s p o k ye n
بەسسايىس	b ye s s a i e s
بەسمىر	b ye s m xe r
بەسوم	b ye s o m
بەسوت	b ye s o t
بەسپاڭل	b ye s p a n g l
بەسپاتتەر	b ye s p a t t ye r
بەسىك	b ye s xe k
بەستسەللەرلەر	b ye s t s ye l l ye r l ye r
بەسىككە سالۋ	b ye s xe k k ye   s a l w
بەسىك جىرى	b ye s xe k   j e r e
بەسىككە تۇستى	b ye s xe k k ye   t xu s t xe
بەستەن	b ye s t ye n
بەستىارى	b ye s t xe a r e
بەستىر	b ye s t xe r
بەسترايد	b ye s t r a i d
بەسترايدتار	b ye s t r a i d t a r
بەتا	b ye t a
بەتىدە	b ye t xe d ye
بەتبەلگىلەر	b ye t b ye l g xe l ye r
بەسىكتەر	b ye s xe k t ye r
بەسىنشى	b ye s xe n sh xe
بەت جاسا	b ye t   j a s a
بەت نومىرى	b ye t   n xo m xe r xe
بەت الپەتى	b ye t   xa l p ye t xe
بەتروتال	b ye t r o t a l
بەتوندار	b ye t o n d a r
بەتوندالعان	b ye t o n d a l gh a n
بەتونداۋ	b ye t o n d a w
بەتپەردە جاساۋ	b ye t p ye r d ye   j a s a w
بەتكەي	b ye t k ye i
بەتكەيلەر	b ye t k ye i l ye r
بەتكەيلەرى	b ye t k ye i l ye r xe
بەتوكەن	b ye t o k ye n
بەتوكىڭ	b ye t o k xe n g
بەتون	b ye t o n
بەۋ	b ye w
بەتىندە	b ye t xe n d ye
بەچامەل	b ye ch a m ye l
ٴبى زالى	b xe   z a l e
بەتتەر	b ye t t ye r
بەتتەرى	b ye t t ye r xe
بەتتى تارتىڭىز	b ye t t xe   t a r t e n g e z
بەتتىك	b ye t t xe k
بەتى	b ye t xe
ٴبىبلىوگرافىيالىق	b xe b l xe o g r a f xe i a l e q
ٴبىبلىوفىل	b xe b l xe o f xe l
ٴبىبلىومانىيا	b xe b l xe o m a n xe i a
بىبلىوفىلدەر	b xe b l xe o f xe l d ye r
بىاكسىالدى	b xe a k s xe a l d e
ٴبىب	b xe b
بىببەر	b xe b b ye r
ٴبىبلىڭ	b xe b l xe n g
ٴبىبلىوگرافىيا	b xe b l xe o g r a f xe i a
ٴبىۆالۆالار	b xe v a l v a l a r
ٴبىداي	b xe d a i
ٴبىگۆىگ	b xe g v xe g
ٴبىبلوتتار	b xe b l o t t a r
ٴبىبلۋس	b xe b l w s
بىبوكس	b xe b o k s
ٴبىبىل	b xe b xe l
بىۆاكالار	b xe v a k a l a r
بىكۋسپىد	b xe k w s p xe d
بىكاربونات	b xe k a r b o n a t
بىكىنى	b xe k xe n xe
ٴبىلابىالدى	b xe l a b xe a l d e
بىدەت	b xe d ye t
بىە	b xe ye
بىەر	b xe ye r
ٴبىجۋ	b xe j w
ٴبىزون	b xe z o n
بىكارب	b xe k a r b
بىلەتتەر	b xe l ye t t ye r
بىلەت	b xe l ye t
ٴبىلىڭ	b xe l xe n g
ٴبىلبورد	b xe l b o r d
ٴبىلبوردتار	b xe l b o r d t a r
بىلەدى	b xe l ye d xe
بىلەر	b xe l ye r
بىلەرى	b xe l ye r xe
بىمەتاللىزم	b xe m ye t a l l xe z m
بىمەتالدىق	b xe m ye t a l d e q
ٴبىنات	b xe n a t
ٴبىڭو	b xe n g o
ٴبىللىڭ	b xe l l xe n g
ٴبىل	b xe l
ٴبىليارد	b xe l i a r d
بىلىك ەتەدى	b xe l xe k   ye t ye d xe
ٴبىمبو	b xe m b o
بىمەسترالدى	b xe m ye s t r a l d e
بىمەتالدى	b xe m ye t a l d e
ٴبىنت	b xe n t
بىوگەندى	b xe o g ye n d xe
بىوگەنەزى	b xe o g ye n ye z xe
ٴبىڭوس	b xe n g o s
بىنوكلدەر	b xe n o k l d ye r
بىنوكۋليارلى	b xe n o k w l i a r l e
ٴبىنومدىق	b xe n o m d e q
ٴبىنومىنالدى	b xe n o m xe n a l d e
ٴبىولوگتار	b xe o l o g t a r
ٴبىولوگىيالىق ىدىرايتىن	b xe o l o g xe i a l e q   e d e r a i t e n
ٴبىوم	b xe o m
ٴبىوماسسا	b xe o m a s s a
بىوگەوگرافىيا	b xe o g ye o g r a f xe i a
ٴبىولوگ	b xe o l o g
ٴبىولوگىيا	b xe o l o g xe i a
ٴبىولوگىيالىق	b xe o l o g xe i a l e q
ٴبىولوگىيالىق كەرى بايلانىس	b xe o l o g xe i a l e q   k ye r xe   b a i l a n e s
بىوسىنتەز	b xe o s xe n t ye z
ٴبىوپسىيا	b xe o p s xe i a
بىوستاتىستىكا	b xe o s t a t xe s t xe k a
ٴبىوتا	b xe o t a
بىومەدىتسىنالىق	b xe o m ye d xe t s xe n a l e q
بىومەترىكا	b xe o m ye t r xe k a
بىومەترىيا	b xe o m ye t r xe i a
بىونىكالىق	b xe o n xe k a l e q
بىونومىكا	b xe o n o m xe k a
بىپەدتەر	b xe p ye d t ye r
ٴبىوحىمىيالىق	b xe o h xe m xe i a l e q
ٴبىپلاندار	b xe p l a n d a r
ٴبىپوليارلى	b xe p o l i a r l e
بىوتەحنولوگىيا	b xe o t ye h n o l o g xe i a
بىوتىكالىق	b xe o t xe k a l e q
بىوفىزىكا	b xe o f xe z xe k a
ٴبىوحىمىيا	b xe o h xe m xe i a
بىسەرمەن جۇمىس	b xe s ye r m ye n   j u m e s
بىسەر	b xe s ye r
بىسەكت	b xe s ye k t
بىسەرمەن	b xe s ye r m ye n
بىسكە	b xe s k ye
بىسەكىڭ	b xe s ye k xe n g
بىسەكسۋال	b xe s ye k s w a l
بىسەكسۋالدار	b xe s ye k s w a l d a r
بىسەكسۋالدىق	b xe s ye k s w a l d e q
بىسەكسۋالىزم	b xe s ye k s w a l xe z m
ٴبىت	b xe t
ٴبىتۋم	b xe t w m
بىتتەر	b xe t t ye r
بىسكەتتەر	b xe s k ye t t ye r
بىسسەكتىلەر	b xe s s ye k t xe l ye r
ٴبىستر	b xe s t r
ٴبىسترو	b xe s t r o
ٴبىستروستار	b xe s t r o s t a r
بىفۋركاتتار	b xe f w r k a t t a r
بىفۋركات	b xe f w r k a t
بىفوكالدى	b xe f o k a l d e
بىفۋركاتسىيا	b xe f w r k a t s xe i a
بىفۋركاتسىيالاڭحان	b xe f w r k a t s xe i a l a n gh a n
بىۋاك	b xe w a k
ٴبىفاسىالدى	b xe f a s xe a l d e
ٴبىفىد	b xe f xe d
ٴبىفىليارلار	b xe f xe l i a r l a r
ٴبىفوگتار	b xe f o g t a r
بىىكتەۋ	b xe xe k t ye w
بىىككە كوتەرىلدى	b xe xe k k ye   k xo t ye r xe l d xe
بىىك ۇشۋ	b xe xe k   u sh w
بىىكتەرى	b xe xe k t ye r xe
بىىكتىگى	b xe xe k t xe g xe
بىفۋركاتسىيالار	b xe f w r k a t s xe i a l a r
بىتسەپس	b xe t s ye p s
ٴبىشى	b xe sh xe
بىشىلەر	b xe sh xe l ye r
بىىك	b xe xe k
بىىك نۇكتە	b xe xe k   n xu k t ye
بلانك	b l a n k
بلەيزەر	b l ye i z ye r
بلەيزەرلەر	b l ye i z ye r l ye r
بىىكتىگى جوعارىلايدى	b xe xe k t xe g xe   j o gh a r e l a i d e
بىىكتىك	b xe xe k t xe k
بىىكتىكتەر	b xe xe k t xe k t ye r
بلا	b l a
بلازون	b l a z o n
بلوكادا	b l o k a d a
بلوك	b l o k
بلوگ	b l o g
بلوكادالار	b l o k a d a l a r
بلەندەر	b l ye n d ye r
بلىمەي	b l xe m ye i
ٴبلىتس	b l xe t s
بلىتسكرىەگ	b l xe t s k r xe ye g
بلىتستەر	b l xe t s t ye r
بو	b o
بمىرە	b m xe r ye
بليۋز	b l i w z
بوا	b o a
